Ticker,Date,Actual,Estimate,Surprise
HST US,5/1/19,0.48 ,0.444 ,8.11%
OMC US,4/16/19,1.17 ,1.082 ,8.13%
AIZ US,5/6/19,2.33 ,2.153 ,8.22%
BAC US,4/16/19,0.71 ,0.656 ,8.23%
CTXS US,4/24/19,1.27 ,1.173 ,8.27%
GIS US,6/26/19,0.83 ,0.766 ,8.36%
EVRG US,5/8/19,0.44 ,0.406 ,8.37%
NUE US,4/23/19,1.63 ,1.504 ,8.38%
HSY US,4/25/19,1.59 ,1.467 ,8.38%
BF/B US,6/5/19,0.33 ,0.304 ,8.55%
WHR US,4/22/19,3.11 ,2.864 ,8.59%
NVDA US,5/16/19,0.88 ,0.81 ,8.64%
JEC US,5/7/19,1.19 ,1.095 ,8.68%
KLAC US,5/6/19,1.80 ,1.656 ,8.70%
INFO US,6/26/19,0.71 ,0.652 ,8.90%
QCOM US,5/1/19,0.77 ,0.706 ,9.07%
DISCA US,5/2/19,0.87 ,0.796 ,9.30%
PFG US,4/25/19,1.43 ,1.308 ,9.33%
PM US,4/18/19,1.09 ,0.997 ,9.33%
URI US,4/17/19,3.31 ,3.027 ,9.35%
CE US,4/22/19,2.62 ,2.395 ,9.39%
PCAR US,4/30/19,1.81 ,1.654 ,9.43%
LRCX US,4/24/19,3.70 ,3.38 ,9.47%
GILD US,5/2/19,1.76 ,1.607 ,9.52%
NLSN US,4/30/19,0.35 ,0.319 ,9.72%
FLIR US,4/24/19,0.53 ,0.483 ,9.73%
CDNS US,4/22/19,0.54 ,0.491 ,9.98%
IT US,5/7/19,0.58 ,0.527 ,10.06%
JPM US,4/12/19,2.59 ,2.353 ,10.07%
COP US,4/30/19,1.00 ,0.907 ,10.25%
NOC US,4/24/19,5.06 ,4.587 ,10.31%
TEL US,4/24/19,1.42 ,1.283 ,10.68%
MSCI US,5/2/19,1.55 ,1.40 ,10.71%
WMT US,5/16/19,1.13 ,1.02 ,10.78%
RJF US,4/24/19,1.81 ,1.633 ,10.84%
ARNC US,4/30/19,0.43 ,0.387 ,11.11%
AMD US,4/30/19,0.06 ,0.054 ,11.11%
TROW US,4/24/19,1.87 ,1.683 ,11.11%
IDXX US,5/1/19,1.17 ,1.052 ,11.22%
TXT US,4/17/19,0.76 ,0.683 ,11.27%
CAH US,5/9/19,1.59 ,1.426 ,11.50%
ANET US,5/2/19,2.31 ,2.07 ,11.59%
BAX US,4/25/19,0.76 ,0.681 ,11.60%
CMCSA US,4/25/19,0.76 ,0.681 ,11.60%
AMT US,5/3/19,1.73 ,1.55 ,11.61%
UTX US,4/23/19,1.91 ,1.711 ,11.63%
IR US,4/30/19,0.89 ,0.797 ,11.67%
ZTS US,5/2/19,0.88 ,0.788 ,11.68%
PFE US,4/30/19,0.85 ,0.761 ,11.70%
TXN US,4/23/19,1.26 ,1.128 ,11.70%
CDW US,5/1/19,1.24 ,1.11 ,11.71%
MSI US,5/2/19,1.28 ,1.145 ,11.79%
CBOE US,5/3/19,1.11 ,0.991 ,12.01%
OKE US,4/30/19,0.81 ,0.723 ,12.03%
RTN US,4/25/19,2.77 ,2.472 ,12.06%
COG US,4/26/19,0.73 ,0.651 ,12.14%
SYF US,4/18/19,1.00 ,0.891 ,12.23%
DOV US,4/18/19,1.24 ,1.104 ,12.32%
CSX US,4/16/19,1.02 ,0.908 ,12.33%
SYY US,5/6/19,0.79 ,0.702 ,12.54%
