Ticker,Date,Actual,Estimate
MPC US,2019-05-08,-0.09,0.05
NOV US,2019-04-25,-0.18,-0.08
FTI US,2019-04-25,0.06,0.318
WDC US,2019-04-29,0.17,0.445
JWN US,2019-05-21,0.23,0.431
NBL US,2019-05-03,-0.09,-0.064
MGM US,2019-04-29,0.14,0.213
FCX US,2019-04-25,0.05,0.073
CTVA US,2019-05-31,0.31,0.44
CHTR US,2019-04-30,0.98,1.371
EIX US,2019-04-30,0.63,0.873
GPS US,2019-05-30,0.24,0.316
CF US,2019-05-01,0.27,0.352
NRG US,2019-05-02,0.33,0.43
XOM US,2019-04-26,0.55,0.716
ADM US,2019-04-26,0.46,0.595
REGN US,2019-05-07,4.45,5.706
APA US,2019-05-01,0.1,0.127
ROL US,2019-04-24,0.13,0.152
JBHT US,2019-04-15,1.09,1.248
CAG US,2019-06-27,0.36,0.412
CTSH US,2019-05-02,0.91,1.034
HII US,2019-05-02,2.85,3.228
XEC US,2019-05-08,1.2,1.352
CNP US,2019-05-09,0.46,0.516
MMM US,2019-04-25,2.23,2.485
TAP US,2019-05-01,0.52,0.576
KSS US,2019-05-21,0.61,0.675
DOW US,2019-05-02,0.83,0.916
WU US,2019-05-07,0.39,0.428
VAR US,2019-04-24,1.05,1.148
ADS US,2019-04-25,3.72,4.05
LOW US,2019-05-22,1.22,1.327
XYL US,2019-05-02,0.52,0.564
WFC US,2019-04-12,1.01,1.092
AOS US,2019-04-30,0.53,0.573
WAT US,2019-04-23,1.6,1.724
IPGP US,2019-04-30,1.02,1.099
MAS US,2019-04-25,0.44,0.473
EQIX US,2019-05-01,3.97,4.248
AES US,2019-05-07,0.28,0.299
IRM US,2019-04-25,0.48,0.512
LEG US,2019-04-29,0.49,0.522
UHS US,2019-04-25,2.45,2.605
NKE US,2019-06-27,0.62,0.658
JKHY US,2019-04-30,0.72,0.764
CXO US,2019-04-30,0.72,0.761
EMN US,2019-04-25,1.77,1.867
ETR US,2019-05-01,0.82,0.863
PNW US,2019-05-01,0.16,0.168
WBA US,2019-04-02,1.64,1.719
PRU US,2019-05-01,3,3.144
BLL US,2019-05-02,0.49,0.511
EXPD US,2019-05-07,0.8,0.832
PPL US,2019-05-02,0.7,0.725
KEY US,2019-04-18,0.4,0.414
ALB US,2019-05-08,1.23,1.273
ISRG US,2019-04-18,2.61,2.699
WMB US,2019-05-01,0.22,0.227
NTAP US,2019-05-22,1.22,1.258
VNO US,2019-04-29,1.3,1.34
CMS US,2019-04-25,0.75,0.772
BA US,2019-04-24,3.16,3.251
DE US,2019-05-17,3.52,3.616
SO US,2019-05-01,0.7,0.719
PAYX US,2019-06-26,0.63,0.645
MO US,2019-04-25,0.9,0.921
DVA US,2019-05-07,0.91,0.931
RHI US,2019-04-23,0.93,0.951
ROK US,2019-04-25,2.04,2.081
AWK US,2019-05-01,0.62,0.632
BK US,2019-04-17,0.94,0.958
GPC US,2019-04-18,1.28,1.304
UPS US,2019-04-25,1.39,1.415
BSX US,2019-04-24,0.35,0.356
SHW US,2019-04-23,3.6,3.657
D US,2019-05-03,1.1,1.117
WLTW US,2019-05-01,2.98,3.024
BKNG US,2019-05-09,11.17,11.324
ABMD US,2019-05-02,1.07,1.084
SPGI US,2019-05-02,2.11,2.134
CCI US,2019-04-17,1.36,1.374
NLOK US,2019-05-09,0.39,0.394
PBCT US,2019-04-18,0.33,0.333
A US,2019-05-14,0.71,0.716
CB US,2019-04-30,2.54,2.561
CERN US,2019-04-25,0.61,0.615
XEL US,2019-04-25,0.61,0.615
ZION US,2019-04-22,1.04,1.048
CLX US,2019-05-01,1.44,1.45
ADSK US,2019-05-23,0.45,0.453
REG US,2019-05-02,0.95,0.956
UDR US,2019-04-30,0.5,0.503
SLG US,2019-04-17,1.68,1.689
SPG US,2019-04-30,3.04,3.054
VRSK US,2019-04-30,1.03,1.034
BRK/A US,2019-05-04,"3,387.56","3,399.10"
SLB US,2019-04-18,0.3,0.301
DISH US,2019-05-03,0.65,0.652
EXC US,2019-05-02,0.87,0.872
UNM US,2019-04-30,1.31,1.313
BIIB US,2019-04-24,6.98,6.994
LKQ US,2019-04-25,0.56,0.561
FTV US,2019-04-25,0.69,0.691
ORLY US,2019-04-24,4.05,4.055
USB US,2019-04-17,1,1.001
DLTR US,2019-05-30,1.14,1.141
EFX US,2019-05-10,1.2,1.201
COST US,2019-05-30,1.89,1.891
AMG US,2019-05-06,3.26,3.261
FE US,2019-04-23,0.67,0.67
MXIM US,2019-04-30,0.52,0.52
PNR US,2019-04-17,0.43,0.43
WELL US,2019-04-30,1.02,1.019
FRT US,2019-05-02,1.56,1.558
CBS US,2019-05-02,1.37,1.367
